RAW WEIGHT AND BIAS SUMMARY for ../models/yolo26n.pt
Parameter Name                                     | Shape                | Mean       | Std       
----------------------------------------------------------------------------------------------------
model.0.conv.weight                                | [16, 3, 3, 3]        | -0.003946  | 0.285909  
model.0.bn.weight                                  | [16]                 | 3.426941   | 1.514401  
model.0.bn.bias                                    | [16]                 | 0.268921   | 5.194921  
model.0.bn.running_mean                            | [16]                 | -0.045812  | 0.164326  
model.0.bn.running_var                             | [16]                 | 0.038017   | 0.015749  
model.0.bn.num_batches_tracked                     | []                   | 0.000000   | nan       
model.1.conv.weight                                | [32, 16, 3, 3]       | 0.002040   | 0.106244  
model.1.bn.weight                                  | [32]                 | 3.899323   | 1.241524  
model.1.bn.bias                                    | [32]                 | 1.724625   | 2.074048  
model.1.bn.running_mean                            | [32]                 | -0.157099  | 4.149202  
model.1.bn.running_var                             | [32]                 | 5.205963   | 2.570013  
model.1.bn.num_batches_tracked                     | []                   | 0.000000   | nan       
model.2.cv1.conv.weight                            | [32, 32, 1, 1]       | -0.001534  | 0.153464  
model.2.cv1.bn.weight                              | [32]                 | 2.888519   | 1.031818  
model.2.cv1.bn.bias                                | [32]                 | 1.228866   | 1.511001  
model.2.cv1.bn.running_mean                        | [32]                 | -0.062925  | 2.649268  
model.2.cv1.bn.running_var                         | [32]                 | 5.814697   | 3.638736  
model.2.cv1.bn.num_batches_tracked                 | []                   | 0.000000   | nan       
model.2.cv2.conv.weight                            | [64, 48, 1, 1]       | -0.013229  | 0.122563  
model.2.cv2.bn.weight                              | [64]                 | 2.198929   | 1.100423  
model.2.cv2.bn.bias                                | [64]                 | 0.093160   | 1.474679  
model.2.cv2.bn.running_mean                        | [64]                 | -1.144054  | 1.256015  
model.2.cv2.bn.running_var                         | [64]                 | 2.748077   | 1.221653  
model.2.cv2.bn.num_batches_tracked                 | []                   | 0.000000   | nan       
model.2.m.0.cv1.conv.weight                        | [8, 16, 3, 3]        | -0.006667  | 0.078153  
model.2.m.0.cv1.bn.weight                          | [8]                  | 0.335144   | 0.156141  
model.2.m.0.cv1.bn.bias                            | [8]                  | 0.100227   | 0.417998  
model.2.m.0.cv1.bn.running_mean                    | [8]                  | -1.382904  | 1.551701  
